,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq32,bq35,bq36,bq37,bq38,bq38_1,bq39_1,bq39_2,bq40,bq41,knowcode
2714,2,2,4,2,2,3,3,4,3,2,3,2,3,1,1,0,2,1,3,2,1,0,2,2,2,2,3,2,2,3,2,2,2,1,4,4,3,2,1,0,2,2,2,2,3,4,3,3,2,1,4,4,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,2,1,3,4,3,4,2,3,2,2,1,0,1,0,5,1,4,1,안전,폐기물,없음,1,4,7,4,3,1,2,3,3,2,3,2,3,3,3,2,3,3,2,2,3,3,2,3,1,3,3,3,3,4,3,3,2,15.0,2,1,1,2,1,2,2,2,4,5,3,2,2,없음,3,1,38,4,환경,1,1,1,4300,853201
2715,3,4,3,4,4,5,1,0,4,5,3,4,4,6,4,5,3,5,3,3,3,3,3,4,3,5,3,4,3,3,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,3,5,4,5,3,5,3,5,4,5,3,3,3,4,3,3,2,2,2,3,3,5,1,0,1,0,2,2,3,3,3,4,1,0,2,3,3,1,4,2,없음,없음,없음,2,0,5,4,2,2,2,2,2,3,4,3,3,4,3,3,3,3,4,3,2,3,3,3,2,3,2,3,2,2,3,1,2,40.0,1,1,1,2,1,1,2,2,3,2,3,1,1,없음,2,1,36,3,전기,1,1,1,4500,28401
2716,2,5,3,3,4,4,3,3,4,5,4,5,2,4,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,4,4,2,2,3,3,3,5,3,2,3,3,4,4,1,0,1,0,1,0,1,0,2,2,3,3,3,3,1,0,3,3,3,4,1,2,없음,없음,없음,2,0,4,2,3,2,1,4,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,4,3,3,1,2,2,3,45.0,1,1,1,1,2,2,1,1,2,2,3,4,2,회사원,4,1,59,2,없음,2,6,0,1600,881101
2717,5,7,4,7,5,6,2,5,4,7,1,0,4,6,4,7,4,7,2,4,4,3,4,5,2,4,1,0,2,3,2,3,2,4,3,5,3,5,2,4,3,4,2,4,3,4,4,6,5,6,1,0,1,0,1,0,1,0,2,5,1,0,1,0,2,3,2,4,3,5,2,4,3,4,2,2,3,4,2,2,4,5,15,2,6,2,없음,없음,없음,1,1,3,6,4,3,4,4,5,3,3,3,3,3,3,4,4,2,4,4,4,4,3,3,2,2,2,3,3,4,3,2,3,20.0,1,1,2,1,2,2,1,2,5,5,4,3,3,없음,3,1,34,6,없음,1,1,1,3200,121105
2718,1,0,2,3,2,4,3,1,2,3,2,3,2,3,1,0,2,3,2,2,2,3,4,4,2,2,2,3,3,4,5,6,5,6,1,0,1,0,2,4,1,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,19,4,1,1,없음,없음,없음,2,0,6,4,4,3,3,5,5,3,4,3,3,3,4,2,3,3,4,4,3,2,4,3,3,3,2,2,3,4,2,3,4,30.0,2,2,2,2,2,2,2,2,3,4,3,3,2,없음,4,2,62,1,없음,2,6,0,2500,863401
2719,3,3,1,0,1,0,1,0,1,0,3,3,3,4,1,0,1,0,1,0,2,2,1,0,1,0,2,2,1,0,3,3,1,0,1,0,1,0,4,4,1,0,3,3,1,0,1,0,1,0,1,0,3,4,5,7,5,7,2,2,4,6,5,7,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,4,5,8,4,1,1,없음,없음,운전면허,1,1,1,1,3,1,1,4,3,3,2,1,3,3,2,3,2,4,4,2,3,3,3,2,2,3,2,4,3,2,3,1,5,60.0,1,1,1,1,1,2,2,2,4,4,2,4,2,개인사업,4,1,52,2,인문,2,6,0,3500,622101
2720,4,5,4,5,4,5,4,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,4,5,4,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,4,5,4,6,4,5,4,5,4,6,4,5,4,6,4,5,4,5,4,6,5,6,4,5,4,5,4,5,4,5,4,6,4,5,7,1,1,2,없음,없음,없음,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,3,2,3,3,2,3,1,10.0,1,2,1,1,2,2,2,1,4,4,4,3,3,주부,4,2,58,3,인문,1,1,1,2500,615501
2721,4,4,4,5,4,4,3,4,4,4,4,4,4,5,3,4,3,3,4,4,1,0,3,4,3,4,2,3,3,4,2,3,2,4,3,3,3,3,1,0,1,0,1,0,1,0,3,3,3,3,3,4,3,4,3,4,1,0,1,0,3,4,1,0,3,4,3,4,3,3,3,4,2,3,3,5,3,4,3,3,3,3,3,1,5,2,없음,없음,없음,2,0,7,5,3,4,3,4,4,3,3,3,4,4,4,4,4,2,3,3,4,3,3,3,2,2,2,3,3,4,2,3,1,5.0,2,1,2,2,2,2,2,2,3,3,3,3,2,없음,2,2,33,4,식품,1,1,1,3800,157101
2722,3,3,3,4,3,5,3,3,4,4,4,5,3,5,4,5,3,4,3,4,4,4,3,4,3,4,3,4,3,4,3,5,3,4,3,4,4,3,3,4,3,4,3,5,4,5,3,5,3,4,3,4,4,4,4,5,3,5,3,4,4,5,3,4,4,4,3,4,1,0,2,2,4,4,4,6,2,2,1,0,2,3,4,2,4,1,전기,없음,없음,1,3,4,5,4,3,3,4,3,3,4,4,3,4,4,4,3,3,4,3,2,3,3,3,3,2,3,4,3,2,3,2,6,10.0,1,1,1,1,1,1,2,2,4,5,3,4,3,학생,1,1,35,4,전자,1,1,1,5800,833001
2723,4,3,4,6,5,6,5,6,4,6,4,5,4,6,3,5,5,6,5,6,5,6,5,6,4,6,4,6,4,6,3,4,1,0,2,4,3,4,1,0,2,2,1,0,3,4,4,6,4,5,4,6,4,5,4,5,3,4,3,4,4,5,4,5,3,4,4,6,4,5,4,5,4,5,4,6,1,0,1,0,1,0,17,1,2,1,재활,교육,없음,1,5,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,5,2,3,1,10.0,2,2,2,2,2,2,2,2,4,4,3,4,3,없음,3,2,32,4,없음,1,2,2,2000,306901
2724,2,3,4,6,3,5,4,6,2,1,2,1,3,3,2,2,2,3,2,2,1,0,2,1,2,1,1,0,2,3,4,5,4,6,3,6,1,0,2,1,2,3,4,6,3,5,2,4,1,0,2,1,2,1,2,1,1,0,1,0,2,2,1,0,2,3,3,2,2,1,2,2,2,2,1,0,1,0,1,0,1,0,19,1,2,2,없음,없음,없음,1,3,3,2,3,3,3,2,2,3,3,3,3,4,4,2,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,4,40.0,2,2,1,2,2,2,2,2,4,3,3,3,2,없음,4,2,32,2,인문,1,1,1,2500,864301
2725,4,5,3,3,3,3,1,0,1,0,3,4,1,0,1,0,1,0,3,3,4,4,3,4,3,4,3,3,3,3,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,1,0,1,0,3,4,3,4,3,5,3,4,1,0,4,4,1,0,1,0,1,0,1,0,18,2,4,2,없음,없음,없음,2,0,7,5,4,3,3,4,4,3,4,4,5,5,5,3,3,2,3,3,3,3,3,4,4,4,3,3,3,3,2,3,1,5.0,2,2,2,2,2,2,1,1,3,3,3,2,3,없음,3,2,35,4,없음,1,1,1,2500,9999999
2726,4,4,3,4,4,4,1,0,3,4,4,4,3,4,3,4,3,4,4,4,5,4,4,5,3,4,3,4,3,4,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,3,3,3,4,3,4,3,4,1,0,3,4,4,4,1,0,3,4,3,4,1,0,2,2,1,0,3,4,3,4,2,2,2,2,14,1,4,2,없음,없음,없음,2,0,2,4,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,3,3,3,4,4,2,2,3,3,3,4,2,3,6,5.0,2,1,1,1,2,2,2,2,3,3,3,3,3,없음,2,2,31,4,디자인,1,1,1,3000,415503
2727,4,5,4,5,3,5,4,5,4,5,3,4,4,6,4,6,4,6,4,6,3,4,4,6,3,4,2,4,3,4,1,0,2,4,2,3,3,4,1,0,4,6,1,0,1,0,2,5,3,5,2,4,2,4,2,4,1,0,1,0,3,4,2,3,2,4,3,4,4,6,3,4,4,4,1,0,3,4,1,0,1,0,13,1,2,1,건축,없음,없음,1,2,5,4,3,3,2,4,4,3,3,3,3,3,3,2,4,3,3,3,4,4,4,4,2,2,2,1,3,3,4,3,4,50.0,2,2,2,2,2,2,2,2,4,4,4,3,2,연구원,4,1,39,4,건축,1,1,1,4680,140201
2728,2,2,3,3,2,3,1,0,2,3,2,3,1,0,1,0,3,3,2,2,1,0,3,4,3,4,2,2,3,5,2,2,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,3,2,2,3,4,3,4,2,3,3,4,2,2,2,2,1,0,2,2,3,4,3,4,2,2,3,5,2,2,3,3,1,0,2,2,18,1,3,2,없음,없음,없음,2,0,2,4,5,5,5,4,4,3,4,4,4,4,4,4,5,2,4,5,4,2,3,4,2,2,1,1,2,3,4,2,2,10.0,2,1,2,2,2,2,2,2,4,4,4,4,4,없음,4,1,32,4,없음,1,1,1,3500,414302
2729,2,2,3,4,3,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,1,0,1,0,3,5,3,5,3,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,3,5,2,2,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7,1,1,2,없음,없음,없음,2,0,2,2,4,4,3,4,2,2,3,3,3,3,3,4,4,2,4,4,4,4,3,3,2,2,3,2,2,2,2,3,1,10.0,1,1,1,2,1,1,2,2,4,4,3,4,2,판매직,3,2,50,2,인문,1,1,1,2400,532301
2730,4,5,3,3,3,4,1,0,2,3,2,1,3,4,3,4,3,4,4,5,2,2,2,3,4,5,4,5,4,6,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,3,3,3,3,3,4,4,5,3,3,2,3,3,4,4,5,4,5,3,3,3,5,3,3,3,4,2,2,2,1,3,4,2,2,2,3,18,2,4,2,없음,없음,없음,1,6,5,6,5,5,5,4,5,4,3,3,4,3,4,4,4,3,4,4,3,3,2,3,2,3,3,2,3,4,1,3,1,0.0,2,2,2,2,2,2,2,2,3,4,4,4,3,없음,3,2,38,5,경영,1,1,1,3700,24402
2731,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,6,4,5,3,5,4,6,4,5,4,5,4,6,4,4,4,5,4,5,4,6,4,5,4,5,4,4,3,4,4,4,3,4,1,0,1,0,3,5,2,3,4,5,4,5,3,3,4,5,3,5,4,5,3,4,3,4,4,5,3,1,6,2,없음,없음,없음,1,5,4,4,3,1,1,2,3,1,3,4,3,4,4,3,3,4,3,3,2,3,3,3,2,3,4,2,3,3,3,4,2,70.0,1,1,1,1,2,2,2,2,4,4,2,4,3,없음,2,1,45,4,없음,1,1,1,4700,151108
2732,2,3,2,2,2,2,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,0,1,0,1,0,1,0,1,0,2,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,3,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,3,5,19,1,1,2,없음,없음,없음,2,0,1,1,1,1,1,3,1,2,3,3,4,3,3,2,1,2,3,3,2,4,2,1,3,3,2,2,2,2,1,3,1,0.0,2,2,2,2,2,2,2,2,4,4,3,2,1,판매직,3,1,76,1,없음,2,5,0,2000,561401
2733,5,5,1,0,3,2,1,0,5,7,4,6,3,4,4,6,4,6,4,6,5,6,5,6,5,5,4,5,4,5,1,0,1,0,1,0,5,7,1,0,1,0,1,0,1,0,5,6,4,5,3,4,4,5,5,6,3,3,1,0,4,6,1,0,4,5,4,6,4,5,3,5,4,4,4,4,5,4,1,0,2,2,15,2,5,2,없음,없음,없음,1,5,3,6,4,3,2,1,2,2,2,2,5,5,3,2,2,2,2,2,4,2,3,3,2,2,5,3,2,4,4,2,2,45.0,2,1,1,1,1,2,2,2,4,3,4,4,2,없음,2,1,31,5,없음,1,2,2,4300,140502
2734,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,2,2,3,5,3,5,2,4,1,0,2,4,1,0,2,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,없음,없음,없음,2,0,7,1,2,2,1,4,3,2,2,3,4,4,3,2,2,3,3,2,3,3,3,4,1,3,4,3,3,3,3,2,2,30.0,2,2,1,2,2,2,2,2,4,5,4,3,2,없음,1,1,60,2,인문,2,6,0,2200,9999999
2735,5,5,4,6,5,5,3,5,4,6,4,6,4,5,3,4,3,5,4,4,3,5,4,5,3,5,4,3,3,4,4,5,3,3,2,3,4,5,4,5,3,4,4,5,3,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,3,3,3,4,3,4,3,4,3,4,4,4,3,3,14,1,2,1,경비,없음,없음,2,0,7,2,3,3,2,3,4,2,2,3,3,4,3,4,4,2,3,2,2,3,2,3,4,3,3,1,2,4,3,3,2,0.0,2,2,2,2,2,2,2,2,4,4,4,4,4,판매직,3,1,36,3,없음,1,1,1,2400,541101
2736,5,6,4,6,4,5,4,5,4,6,2,4,4,5,5,5,4,5,5,6,4,5,4,6,4,6,3,3,2,3,3,3,2,3,2,2,4,3,2,3,4,4,2,2,1,0,3,3,4,5,4,4,3,4,2,4,2,2,1,0,2,3,3,3,2,2,2,2,1,0,3,3,1,0,1,0,3,3,1,0,3,3,5,2,6,1,환경,없음,없음,1,1,3,5,5,4,3,4,5,4,4,4,5,5,4,3,4,2,4,3,5,3,4,3,2,2,2,2,3,4,2,3,2,20.0,2,1,1,2,2,2,2,2,4,4,4,4,2,없음,3,2,25,4,환경,1,1,1,3600,155302
2737,4,5,4,5,4,4,4,5,4,5,4,4,3,4,4,5,5,6,4,5,4,4,3,3,4,5,2,2,4,4,3,3,2,2,2,2,2,2,2,3,1,0,1,0,2,2,4,5,4,4,4,5,3,3,5,5,1,0,1,0,4,5,4,4,5,5,4,5,3,4,3,3,3,3,3,3,4,4,4,5,3,3,13,1,3,2,없음,없음,없음,2,0,1,5,4,3,3,4,3,3,3,3,3,4,3,3,3,3,2,3,2,3,4,3,3,3,4,2,4,4,2,3,2,40.0,2,2,2,2,2,2,2,2,3,4,3,4,3,없음,3,2,36,4,통계,1,1,1,2600,29303
2738,4,5,4,5,3,4,3,4,4,5,2,3,2,3,2,3,2,3,4,5,4,6,4,5,3,4,3,4,3,4,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,5,2,3,3,4,4,5,3,5,4,5,3,4,2,3,4,5,4,5,4,6,4,6,4,5,4,6,4,5,2,2,4,5,3,5,18,1,1,2,없음,없음,없음,1,3,5,5,4,4,4,4,5,3,4,4,4,4,4,4,4,2,4,4,4,3,2,4,5,4,2,3,4,2,3,2,2,30.0,2,1,1,2,2,2,2,2,4,3,3,4,2,없음,3,2,58,2,상업,2,7,0,4003,24402
2739,3,4,4,5,4,5,3,4,3,4,4,6,3,4,2,3,2,3,4,5,4,5,3,4,4,5,3,4,3,4,3,3,1,0,1,0,3,4,2,3,1,0,1,0,1,0,2,3,3,4,4,4,3,4,3,4,4,6,3,5,4,6,4,6,3,3,4,5,3,4,3,4,3,4,3,4,2,3,2,3,2,3,9,1,3,1,어학,없음,없음,1,3,5,5,4,3,3,4,4,3,4,4,4,4,4,3,3,2,3,3,4,2,3,4,5,5,3,3,4,4,2,3,1,0.0,2,2,2,2,2,2,2,2,4,4,4,3,3,없음,2,1,40,4,경영,1,1,1,4900,14103
2740,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,4,2,3,4,5,3,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,3,3,4,2,3,3,3,3,3,2,3,3,4,2,2,3,3,3,3,2,2,2,3,4,5,4,5,2,2,2,2,3,4,2,2,2,3,2,2,17,3,6,1,의학,없음,없음,1,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,4,2,4,3,10.0,2,2,2,2,2,2,1,1,3,3,3,3,3,없음,3,1,30,4,의학,1,1,1,3000,301201
2741,4,3,1,0,4,4,2,2,2,3,3,2,2,2,1,0,1,0,1,0,3,4,4,4,3,4,3,5,3,5,3,4,3,4,3,4,1,0,1,0,1,0,3,3,2,2,1,0,2,2,3,5,1,0,3,3,3,4,3,4,1,0,4,5,4,4,3,4,3,3,3,5,3,2,3,3,3,4,3,2,3,4,9,1,1,1,조리,없음,없음,1,3,3,2,4,2,2,4,4,3,3,4,3,4,4,3,3,2,4,4,3,3,4,4,3,3,2,2,2,2,2,2,2,30.0,1,2,2,2,2,2,2,2,4,4,4,4,3,없음,2,2,57,2,인문,2,5,0,4000,531201
2742,3,3,3,3,2,2,1,0,1,0,3,3,4,4,1,0,1,0,2,2,3,4,3,3,1,0,1,0,1,0,3,4,3,4,3,4,1,0,1,0,1,0,2,2,2,2,1,0,1,0,1,0,1,0,3,3,4,5,1,0,1,0,1,0,1,0,3,3,3,3,1,0,2,2,3,1,1,0,1,0,1,0,17,1,2,1,치료,없음,없음,2,0,7,5,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,3,4,3,2,2,3,2,3,2,3,4,3,4,3,50.0,2,1,1,1,1,2,2,2,4,4,4,4,4,없음,2,1,52,4,물리,1,1,1,4500,306502
2743,5,6,4,5,4,5,1,0,3,4,3,4,4,5,4,5,4,5,2,2,2,2,2,3,2,2,3,4,2,2,2,2,1,0,1,0,2,3,1,0,1,0,1,0,1,0,3,4,4,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,10,1,6,2,없음,없음,없음,2,0,6,2,4,4,3,4,4,3,4,3,4,4,4,3,3,2,4,3,4,4,3,3,4,4,3,3,3,3,2,3,5,20.0,2,2,2,2,2,2,2,2,4,3,4,4,3,없음,2,1,44,2,인문,1,3,2,5000,9999999
2744,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,6,4,1,2,없음,없음,없음,2,0,3,2,3,2,2,2,3,3,4,4,4,4,3,2,2,3,4,3,3,4,2,3,2,3,3,3,3,2,2,3,1,0.0,2,2,2,2,2,2,2,2,3,3,3,3,3,없음,3,1,41,2,없음,2,6,0,2400,702201
2745,3,5,4,4,3,4,4,5,5,6,4,6,5,6,4,5,3,4,3,5,4,5,5,6,3,5,4,5,4,5,1,0,3,5,5,6,5,6,4,5,4,5,5,6,5,6,4,6,3,5,3,5,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,3,1,4,2,없음,없음,없음,2,0,6,5,4,3,3,4,4,3,4,3,4,4,4,4,4,2,4,5,4,3,4,3,5,3,3,3,4,4,3,3,2,25.0,1,1,1,2,2,2,2,2,5,4,4,4,4,없음,2,1,35,5,기계,1,1,1,4800,151201
2746,5,2,5,5,5,5,4,3,3,4,4,4,3,3,5,4,5,4,5,4,4,4,4,5,3,5,4,5,4,6,3,3,2,4,3,4,3,3,1,0,2,5,2,5,1,0,4,3,4,4,5,5,4,4,4,5,4,6,3,4,4,4,3,3,5,4,4,4,3,5,4,3,4,4,3,3,3,4,3,2,3,5,6,1,6,1,환경,환경,없음,1,4,4,5,4,3,3,3,4,3,3,3,3,5,4,4,4,3,3,3,3,3,3,3,2,2,1,2,2,4,3,2,5,30.0,2,2,2,2,2,2,2,2,3,5,4,3,3,연구원,4,1,47,5,화학,1,1,1,7500,155301
2747,5,6,5,6,4,6,3,4,5,6,3,4,5,6,5,6,5,5,4,5,5,7,5,5,5,5,3,4,4,4,1,0,1,0,3,4,5,6,2,3,4,5,3,4,3,4,4,5,3,4,4,6,4,5,5,4,3,4,3,4,5,5,2,3,4,5,5,6,4,5,5,5,4,4,4,4,3,4,1,0,2,2,3,1,3,2,없음,없음,없음,1,3,7,5,4,4,4,5,4,4,4,3,3,3,3,3,4,2,4,4,4,3,2,2,2,2,2,2,2,4,3,4,4,10.0,1,1,1,2,2,2,2,2,4,4,3,3,2,없음,4,1,40,5,없음,1,1,1,5000,155102
2748,1,0,2,3,3,4,3,4,1,0,1,0,2,3,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,4,5,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,4,1,2,없음,없음,없음,2,0,7,1,1,1,1,4,3,1,3,3,3,3,3,2,2,5,2,2,3,3,4,3,2,4,3,4,4,2,3,2,4,0.0,2,2,2,2,2,2,2,2,2,2,3,3,1,없음,2,1,47,2,인문,1,4,2,2600,701401
2749,4,6,4,5,5,6,3,3,3,3,3,3,4,5,3,4,3,3,3,4,2,3,3,4,3,4,2,3,3,3,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,4,4,2,2,3,4,2,3,2,2,3,3,2,2,3,4,2,1,3,3,3,5,2,1,2,2,2,2,3,3,2,3,3,3,2,3,15,2,4,2,없음,없음,없음,1,4,4,6,5,4,5,5,4,3,3,3,4,5,5,5,5,1,3,4,3,4,2,3,2,3,3,2,3,1,4,1,4,35.0,2,1,1,1,1,2,1,2,2,2,3,4,4,없음,3,1,44,6,없음,1,1,1,6000,110202
2750,4,5,4,5,4,5,1,0,1,0,3,4,3,3,4,5,5,6,4,5,4,5,4,4,4,5,4,4,3,4,4,5,3,4,1,0,5,6,2,2,2,2,1,0,2,2,4,4,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,4,5,3,4,3,2,13,1,2,1,세무,없음,없음,2,0,7,5,4,4,4,4,5,4,4,3,4,4,4,3,4,2,4,4,4,4,2,3,4,4,3,2,3,3,2,3,1,10.0,2,2,2,2,2,2,2,2,4,4,4,3,2,없음,4,1,35,4,교육,1,1,1,5600,23201
2751,4,3,3,3,3,3,4,4,3,3,3,3,4,5,3,4,5,6,4,5,3,3,4,4,4,5,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,4,3,3,4,4,3,4,2,3,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,5,3,3,3,3,4,5,4,4,17,3,6,1,간호,없음,없음,1,6,6,6,4,4,4,4,4,4,5,5,5,4,4,3,3,4,4,4,3,3,2,2,2,1,2,2,2,3,2,5,3,30.0,2,2,2,2,2,1,1,1,4,4,4,4,2,없음,3,2,50,4,간호,1,1,1,4000,301004
2752,2,3,3,3,2,4,3,4,3,3,3,3,2,3,2,2,2,3,2,2,1,0,1,0,1,0,2,3,2,3,4,5,4,5,5,4,2,2,4,5,2,3,5,6,4,5,2,2,3,3,3,4,3,3,2,3,2,3,3,3,2,2,1,0,2,3,3,3,2,2,4,4,2,2,2,1,2,2,1,0,1,0,8,1,4,2,없음,없음,없음,2,0,3,2,1,2,2,2,2,1,2,1,2,2,2,2,1,4,1,2,3,3,4,2,3,3,3,4,4,3,3,3,4,15.0,2,2,2,2,2,2,2,2,3,3,3,3,2,선박조립원,2,1,50,2,고졸,1,1,1,4900,9999999
2753,2,3,2,3,2,3,1,0,1,0,2,2,2,2,2,3,2,2,2,3,3,4,3,4,3,4,3,4,3,4,3,4,1,0,1,0,3,4,1,0,1,0,1,0,1,0,2,2,2,2,2,3,2,3,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,1,0,1,0,3,1,2,2,없음,없음,없음,2,0,7,5,3,3,3,4,4,3,4,4,4,4,4,3,3,2,3,3,3,3,4,1,1,1,2,3,3,3,2,3,1,0.0,2,2,2,2,2,2,2,2,3,3,3,3,1,없음,1,1,31,4,화학,1,1,1,3300,153202
2754,5,4,4,4,4,3,1,0,1,0,2,3,3,3,3,3,4,4,4,5,1,0,3,4,4,4,3,3,4,5,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,4,4,4,4,4,5,1,0,2,2,4,4,3,4,3,3,3,4,2,2,3,3,3,3,2,2,3,3,3,3,1,0,14,1,2,2,없음,없음,없음,2,0,5,4,4,3,2,4,3,4,4,4,4,4,4,2,2,3,2,2,2,2,3,3,4,4,2,4,4,2,2,3,6,20.0,2,2,2,2,2,2,2,2,3,3,3,3,2,없음,2,2,52,4,없음,2,5,0,6000,13902
2755,4,5,4,6,4,5,1,0,2,4,3,4,4,5,4,6,5,7,2,3,2,2,3,5,3,3,4,6,4,5,1,0,1,0,1,0,4,6,1,0,1,0,1,0,1,0,3,4,4,6,3,3,4,5,4,5,3,4,3,4,4,6,4,6,2,2,2,2,3,4,3,3,3,2,2,3,3,5,1,0,1,0,11,1,3,1,손해,없음,없음,1,2,3,4,4,3,3,4,4,3,3,3,4,4,4,4,4,2,4,4,4,3,3,3,4,3,3,3,3,2,3,2,4,30.0,2,1,2,2,2,2,2,2,3,3,4,3,2,없음,2,1,31,4,통계,1,1,1,3500,31501
